"job_id","company_id","title","location","applies","original_listed_time","remote_allowed","views","application_type","expiry","closed_time","formatted_experience_level","listed_time","sponsored","scraped","salary","duration_days","district","region"
3757940104,553718,"Hearing Care Provider","Little River, SC",0,2023-11-04 09:26:40,FALSE,9,"OffsiteApply",2023-12-04 08:53:20,2030-01-01 00:00:01,"Entry level",2023-11-04 09:26:40,FALSE,1699138101,63000,29.9768518518519,"Richmond","South"
3757937095,437225,"Principal Cloud Security Architect (Remote)","United States",0,2023-11-03 00:06:40,TRUE,0,"OffsiteApply",2023-12-04 08:53:20,2030-01-01 00:00:01,"Mid-Senior level",2023-11-04 09:26:40,FALSE,1699085346,240895,31.3657407407407,"All","All"
3757935381,19181907,"Insights Analyst - Auto Industry","United States",0,2023-11-02 21:20:00,TRUE,130,"OffsiteApply",2023-12-04 08:53:20,2023-11-14 22:13:20,"Entry level",2023-11-04 09:26:40,FALSE,1699134111,61000,31.4814814814815,"All","All"
3757935001,73013724,"Sales Manager","Coeur d'Alene, ID",0,2023-11-04 06:40:00,TRUE,0,"ComplexOnsiteApply",2023-12-04 06:06:40,2030-01-01 00:00:01,"Mid-Senior level",2023-11-04 06:40:00,FALSE,1699085940,237500,29.9768518518519,"San Francisco","West"
3757934319,18391435,"Controls Engineer","Orlando, FL",1,2023-11-04 06:40:00,FALSE,5,"OffsiteApply",2023-12-04 06:06:40,2030-01-01 00:00:01,"Mid-Senior level",2023-11-04 06:40:00,FALSE,1699132529,135500,29.9768518518519,"Atlanta","South"
3757934281,2238,"Senior Manager, Indirect Procurement","Broomfield, CO",0,2023-11-04 06:40:00,FALSE,0,"SimpleOnsiteApply",2023-12-04 06:06:40,2030-01-01 00:00:01,"Mid-Senior level",2023-11-04 06:40:00,FALSE,1699081863,119500,29.9768518518519,"Kansas City","Midwest"
3757934267,28352,"CDL A Delivery Driver","Swedesboro, NJ",0,2023-11-04 06:40:00,FALSE,0,"OffsiteApply",2023-12-04 06:06:40,2030-01-01 00:00:01,"Entry level",2023-11-04 06:40:00,FALSE,1699088206,95000,29.9768518518519,"New York","Northeast"
3757934264,73013724,"Sales Manager","Richmond, VA",0,2023-11-04 06:40:00,TRUE,0,"ComplexOnsiteApply",2023-12-04 06:06:40,2030-01-01 00:00:01,"Mid-Senior level",2023-11-04 06:40:00,FALSE,1699085197,237500,29.9768518518519,"Philadelphia","Northeast"
3757934178,73013724,"Sales Manager","Rapid City, SD",0,2023-11-04 06:40:00,TRUE,0,"ComplexOnsiteApply",2023-12-04 06:06:40,2030-01-01 00:00:01,"Mid-Senior level",2023-11-04 06:40:00,FALSE,1699129956,237500,29.9768518518519,"Minneapolis","Midwest"
3757934003,73013724,"Sales Manager","Yuma, AZ",0,2023-11-04 06:40:00,TRUE,0,"ComplexOnsiteApply",2023-12-04 06:06:40,2030-01-01 00:00:01,"Mid-Senior level",2023-11-04 06:40:00,FALSE,1699082898,237500,29.9768518518519,"San Francisco","West"
3757933843,19181907,"Senior Insights Analyst - Financial Services team","United States",0,2023-10-10 09:26:40,TRUE,57,"OffsiteApply",2023-12-04 08:53:20,2023-11-14 22:13:20,"Mid-Senior level",2023-11-04 09:26:40,FALSE,1699133887,72500,54.9768518518519,"All","All"
3757933435,73013724,"Sales Manager","Sheboygan, WI",0,2023-11-04 06:40:00,TRUE,0,"ComplexOnsiteApply",2023-12-04 06:06:40,2030-01-01 00:00:01,"Mid-Senior level",2023-11-04 06:40:00,FALSE,1699085940,237500,29.9768518518519,"Chicago","Midwest"
3757933320,213591,"Writer","Portland, OR",0,2023-11-04 06:40:00,FALSE,0,"OffsiteApply",2024-05-02 06:06:40,2030-01-01 00:00:01,"Entry level",2023-11-04 06:40:00,FALSE,1699081345,67500,179.976851851852,"San Francisco","West"
3757933252,73013724,"Sales Manager","Urbana-Champaign Area",0,2023-11-04 06:40:00,TRUE,0,"ComplexOnsiteApply",2023-12-04 06:06:40,2030-01-01 00:00:01,"Mid-Senior level",2023-11-04 06:40:00,FALSE,1699080827,237500,29.9768518518519,"Chicago","Midwest"
3757932799,73013724,"Sales Manager","Chico, CA",0,2023-11-04 06:40:00,TRUE,0,"ComplexOnsiteApply",2023-12-04 06:06:40,2030-01-01 00:00:01,"Mid-Senior level",2023-11-04 06:40:00,FALSE,1699138552,237500,29.9768518518519,"San Francisco","West"
3757932761,91313799,"BCBA [5159]","Omaha, NE",0,2023-11-04 06:40:00,FALSE,1,"ComplexOnsiteApply",2023-12-04 06:06:40,2030-01-01 00:00:01,"Entry level",2023-11-04 06:40:00,FALSE,1699085644,85000,29.9768518518519,"Kansas City","Midwest"
3757932736,73013724,"Sales Manager","Philadelphia, PA",2,2023-11-04 06:40:00,TRUE,4,"ComplexOnsiteApply",2023-12-04 06:06:40,2030-01-01 00:00:01,"Mid-Senior level",2023-11-04 06:40:00,FALSE,1699139602,237500,29.9768518518519,"Philadelphia","Northeast"
3757932471,73013724,"Sales Manager","Charlottesville, VA",0,2023-11-04 06:40:00,TRUE,1,"ComplexOnsiteApply",2023-12-04 06:06:40,2030-01-01 00:00:01,"Mid-Senior level",2023-11-04 06:40:00,FALSE,1699136148,237500,29.9768518518519,"Philadelphia","Northeast"
3757932015,73013724,"Sales Manager","New York City Metropolitan Area",3,2023-11-04 06:40:00,TRUE,6,"ComplexOnsiteApply",2023-12-04 06:06:40,2030-01-01 00:00:01,"Mid-Senior level",2023-11-04 06:40:00,FALSE,1699132230,237500,29.9768518518519,"New York","Northeast"
3757931788,6464,"Admissions Processing Supervisor","Denton, TX",0,2023-11-04 06:40:00,FALSE,0,"OffsiteApply",2023-12-04 06:06:40,2030-01-01 00:00:01,"Mid-Senior level",2023-11-04 06:40:00,FALSE,1699088206,40000,29.9768518518519,"Dallas","South"
3757931774,73013724,"Sales Manager","Traverse City, MI",0,2023-11-04 06:40:00,TRUE,2,"ComplexOnsiteApply",2023-12-04 06:06:40,2030-01-01 00:00:01,"Mid-Senior level",2023-11-04 06:40:00,FALSE,1699132006,237500,29.9768518518519,"Chicago","Midwest"
3757931759,73013724,"Sales Manager","Louisville Metropolitan Area",1,2023-11-04 06:40:00,TRUE,1,"ComplexOnsiteApply",2023-12-04 06:06:40,2030-01-01 00:00:01,"Mid-Senior level",2023-11-04 06:40:00,FALSE,1699132753,237500,29.9768518518519,"Chicago","Midwest"
3757931738,73013724,"Sales Manager","Beaumont-Port Arthur Area",0,2023-11-04 06:40:00,TRUE,0,"ComplexOnsiteApply",2023-12-04 06:06:40,2030-01-01 00:00:01,"Mid-Senior level",2023-11-04 06:40:00,FALSE,1699085197,237500,29.9768518518519,"Dallas","South"
3757931730,73013724,"Sales Manager","York, PA",0,2023-11-04 06:40:00,TRUE,0,"ComplexOnsiteApply",2023-12-04 06:06:40,2030-01-01 00:00:01,"Mid-Senior level",2023-11-04 06:40:00,FALSE,1699082380,237500,29.9768518518519,"Philadelphia","Northeast"
3757931721,73013724,"Sales Manager","Greater Palm Bay-Melbourne-Titusville Area",2,2023-11-04 06:40:00,TRUE,3,"ComplexOnsiteApply",2023-12-04 06:06:40,2030-01-01 00:00:01,"Mid-Senior level",2023-11-04 06:40:00,FALSE,1699131632,237500,29.9768518518519,"Atlanta","South"
3757931720,73013724,"Sales Manager","Crestview-Fort Walton Beach-Destin Area",0,2023-11-04 06:40:00,TRUE,0,"ComplexOnsiteApply",2023-12-04 06:06:40,2030-01-01 00:00:01,"Mid-Senior level",2023-11-04 06:40:00,FALSE,1699083935,237500,29.9768518518519,"Atlanta","South"
3757931640,73013724,"Sales Manager","Salinas, CA",0,2023-11-04 06:40:00,TRUE,1,"ComplexOnsiteApply",2023-12-04 06:06:40,2030-01-01 00:00:01,"Mid-Senior level",2023-11-04 06:40:00,FALSE,1699138026,237500,29.9768518518519,"San Francisco","West"
3757931639,73013724,"Sales Manager","The Villages, FL",1,2023-11-04 06:40:00,TRUE,3,"ComplexOnsiteApply",2023-12-04 06:06:40,2030-01-01 00:00:01,"Mid-Senior level",2023-11-04 06:40:00,FALSE,1699139153,237500,29.9768518518519,"Atlanta","South"
3757931596,73013724,"Sales Manager","Dunn, NC",0,2023-11-04 06:40:00,TRUE,0,"ComplexOnsiteApply",2023-12-04 06:06:40,2030-01-01 00:00:01,"Mid-Senior level",2023-11-04 06:40:00,FALSE,1699082898,237500,29.9768518518519,"Richmond","South"
3757930887,73013724,"Sales Manager","Wenatchee, WA",0,2023-11-04 06:40:00,TRUE,0,"ComplexOnsiteApply",2023-12-04 06:06:40,2030-01-01 00:00:01,"Mid-Senior level",2023-11-04 06:40:00,FALSE,1699132305,237500,29.9768518518519,"San Francisco","West"
3757930873,73013724,"Sales Manager","Jackson, TN",0,2023-11-04 06:40:00,TRUE,1,"ComplexOnsiteApply",2023-12-04 06:06:40,2030-01-01 00:00:01,"Mid-Senior level",2023-11-04 06:40:00,FALSE,1699137574,237500,29.9768518518519,"Atlanta","South"
